"OE"|"Référence"|"Produit"|"Description"|"Commentaire"|"UdM"|"Prix public"
|"CREA-CAMP"|"Campagne"|"Conception / création"|"Analyse et compréhension du briefing client. Définition de plusieurs axes de communication. Recherche et développement de différentes pistes créatives, visuelles et conceptuelles déclinable sur divers supports. Rédaction des textes et accroches. Recherches iconographique et de mise en page des diverses pistes, retouches images et montage des maquettes. Soumission et corrections. Cession des droits pour Genève, sans limites de temps."|"Heure"|180
|"SHOOT"|"Shooting"|"Shooting photo/vidéo"|"Organisation du casting, repérage et journée de shooting. Post-production et livraison des fichiers HD. Réalisation de capsules vidéos. Cession des droits."||0
|"SHOOT-PHOTO"|"Shooting"|"Shooting photo "|"Organisation du casting, repérage et journée de shooting. Post-production et livraison des fichiers HD. Cession des droits."|"Heure"|0
|"DIRECTION"|"Direction artistique"|"Direction artistique"|"Briefing photographe, repérage, organisation et suivi des prises de vue."|"Heure"|180
|"FINALISAT"|"Finalisation"|"Finalisation"|"Sélection des images, retouches des images, mise en page de plusieurs propositions. Soumission, corrections. Mise au net et finalisation de la piste choisie."|"Heure"|160
|"REAL-PRINT"|"Réalisation"|"Réalisation print"|"Mise au format des affiches selon gabarits et les données techniques des différents supports. Simulation taille 1:1 pour en juger de la lisibilité. Préparation des fichiers pour l'impression. "|"Heure"|160
|"ANNONCES"|"Annonces"|"Réalisation annonces"|"Mise au format des annonces selon les caractéristiques de chaque média. Création des PDF HD certifiés pour impression."|"Heure"|160
|"REAL-DIGIT"|"Réalisation"|"Réalisation digital"|"Mise au format statique des visuels de campagne aux formats clés. Exportation des fichiers optimisés pour le web."|"Heure"|160
|"LITHO"|"Photolitho"|"Photolithographie"|"Retouches images HD, intégration des profils colorimétriques et épreuves couleurs certifiées."||0
|"PLAN-MEDIA-PRINT"|"Plan media"|"Plan media print"|"Contact avec les médias, proposition d’un plan média, simulation, suivi de campagne et vérification."|"Heure"|160
|"PLAN-MEDIA-DIG"|"Plan media"|"Plan media digital"|"Contact avec les médias, proposition d’un plan média, simulation, suivi de campagne et vérification."||0
|"ACHAT-ESP-DIG"|"Achat d'espace "|"Achat d'espace digital"|"Ouverture et configuration des comptes publicitaires, création des annonces, mise en place et ciblage, reporting mi-fin parcours. Adaptation aux différents formats pour le réseau Google Display et un post Facebook et linkedin via les réseaux existants."||0
|"ACHAT-ESP-PRINT"|"Achat d'espace "|"Achat d'espace print"|"1 habillage de tram Cityrunner (2 F24 + 5 crêtes), 100 F4, 2 arrières de bus Citaro, etc…."||0
"OE"|"ACHAT-FONT"|"Achat font"|"Achat de font"|"Achat et license pour 1 police de caractère."||0
"OE"|"ACHAT-IMAG"|"Achat image"|"Achat d'image"|"Achat d'images et droits d'utilisation (CHF X par image)."||0
"OE"|"ATELIER"|"Atelier"|"Atelier de marque"|"Préparation en amont de l’atelier. Workshop sur une matinée. Analyse du Benchmark.Travail sur les valeurs de la marque et la manière dont on aimerait qu'elle soit perçue. Compte rendu de l’atelier (environ 10 pages) avec les messages, les fondamentaux de la marque et son positionnement. Atelier de 2h sur la formalisation des valeurs. "|"Heure"|200
|"NAMING"|"Naming"|"Naming"|"Suite au travail sur les fondamentaux, échanges et discussions autour de l'architecture de la marque. Proposition de différents noms en relation avec la stratégie."||0
"OE"|"CREA-BRAND"|"Branding"|"Conception / création ligne graphique"|"Analyse et compréhension du briefing client. Définition de plusieurs axes de communication. Recherche de typographies, de formes et de gammes de couleurs. Création d’un univers visuel en lien avec le logo, déclinaison sur des éléments graphiques (pictogrammes, infographies,..) et différents outils de communication. Application des systèmes graphiques sur des brochures, le set administratif et divers supports de communication pour pouvoir en juger la justesse. Soumission et corrections."|"Heure"|180
|"CHART-GRAPH"|"Charte graphique"|"Charte graphique"|"Création d'une charte graphique d'environ 10 pages listant les divers éléments réalisés (logo, typographies, palettes de couleurs, etc.)"|"Heure"|160
"OE"|"REAL-PAPET"|"Réalisation"|"Réalisation set administratif"|"Réalisation du set administratif (un modèle de carte de visite, une signature mail, un template Word pour papier à en-tête, des enveloppes). Soumission et corrections. Livraison des fichiers et des logos aux divers formats."|"Heure"|160
"OE"|"POWER-POINT"|"Powerpoint"|"Création et réalisation template Powerpoint"|"Création d'un template Powerpoint. Recherche d'un style graphique et d'une mise en page pour 2 à 5 slides types. Soumission. Réalisation des diverses slides selon les remarques. Livraison du fichier."|"Heure"|160
