Secteur;Nom;Réf;Rue;No;NPA;Lieu;Tél;Mail
-;Eco-crèche en forêt;8005;;;;;076 467 13 41;info@education-durable.eco
Aire-la-Ville ;Aire-la-Ville ;9883;Chemin du Pré Guillot;1;1288;Aire-La-Ville;022 850 93 00;creche@aire-la-ville.ch
Anières;T'Anières;8250;Rue Centrale;21-23;1247;Anières;022 751 15 79;lat.anieres@bluewin.ch
Avully;Hérissons;8420;Route d'Epeisses;31;1237;Avully;022 756 19 63;lesherissonsjardinenfants@gmail.com
Avusy;Aux Escargots;9916;Route du Creux-du-Loup;44;1285;Athenaz;022 756 29 42;info@auxescargots.ch
Bardonnex;Citron Myrtille;8780;Route des Hospitaliers;137;1257;La Croix-de-Rozon;022 771 01 84;alexandra.leger@citron-myrtille.ch
Bellevue;Pop e poppa Les 4 saisons;7781;Chemin de la Menuiserie;41;1293;Bellevue;022 758 06 36;direction@crecheles4saisons.ch
Bellevue;Ticoquins;9924;Chemin des Marettes;1B;1293;Bellevue;022 959 75 49;garderie.ticoquins@gmail.com
Bernex;Bernex;9944;Chemin du Signal;19;1233;Bernex;022 727 10 20;creche@bernex.ch
Bernex;Bizules;8920;Chemin de Saules;120;1233;Bernex;022 850 96 50;creche@bernex.ch
Bernex;Creux;8750;Route de Pré-Marais;21;1233;Bernex;022 757 16 81;creche@bernex.ch
Bernex;Lully;8760;Route de Soral;152;1233;Bernex;022 850 91 74;creche@bernex.ch
Carouge;Caroubiers;9740;Avenue de la Praille;34;1227;Carouge;022 343 66 62;info@eves-menuisiers-caroubiers.ch
Carouge;Epinettes-Acacias;9954;Rue des Epinettes;8b;1227;Carouge;022 304 12 59;info@eve-acacias-epinettes.ch
Carouge;Fontenette;9902;Clos de la Fonderie;15;1227;Carouge;022 307 92 70;moussaillons@bluewin.ch
Carouge;Grands Hutins;9948;Rue de la tambourine;1;1227;Carouge;022 308 88 40;direction@eve-grandshutins-tambourine.ch
Carouge;Menuisiers;9885;Rue des Horlogers;14;1227;Carouge;022 307 92 31;info@eves-menuisiers-caroubiers.ch
Carouge;Pinchat;8490;Chemin de Pinchat;21;1227;Carouge;022 304 11 40;info@evedepinchat.ch
Carouge;Promenades;7870;Boulevard des Promenades;18;1227;Carouge;022 307 92 21;info@evedepinchat.ch
Carouge;Tambourine;9997;Rue de la Tambourine;37;1227;Carouge;022 307 92 55;direction@eve-grandshutins-tambourine.ch
Carouge;Val d’Arve;9927;Route de Veyrier;96;1227;Carouge;022 307 92 60;moussaillons@bluewin.ch
Cartigny;Cartiminois;9906;Rue Pré-de-la-Reine;24;1236;Cartigny;022 756 20 28;cartiminois@gmail.com
Chancy;Crocolions;9790;Chemin de l’Ecole;21;1284;Chancy;022 756 42 60;cartiminois@gmail.com
Chêne-Bougeries;Gan Habad;9957;Chemin Grange Falquet;2;1224;Chêne-Bougeries;022 860 86 00;habadgeneve@gmail.com
Chêne-Bougeries;Maternelle;8550;Chemin Jules Cougnard;5;1224;Chêne-Bougeries;022 349 50 54;mat@ipe-ge.ch
Chêne-Bougeries;Nouveau Prieuré;9968;Chemin du Pré-du-Couvent;3D;1224;Chêne-Bougeries;022 869 51 83;fortin@evenouveauprieure.ch
Chêne-Bougeries;Petit Manège;8710;Place de l’Etrier;4;1224;Chêne-Bougeries;022 349 45 83;petitmanege1224@gmail.com
Chêne-Bougeries;Pop e poppa Jean-Jacques RIGAUD;8055;Route de Jean-Jacques RIGAUD;55A;1224;Chêne-Bougeries;022 869 15 60;s.ballet@everigaud.ch
Chêne-Bourg;Chêne-Bourg site Peillonnex;9835;Rue Peillonnex;35A;1225;Chêne-Bourg;022 348 31 62;info@creche3chene.ch
