Nom structure;Type structure;Provenance;quartier;secteur;répondant-e;rue;numero;code postale;commune;mail;telephone
Allobroges;DIP Ecole publique;VDG;Les Acacias;;;Rue des Allobroges;4 à 6;1227;Les Acacias;;022 418 33 23
Hugo-de-Senger;DIP Ecole publique;VDG;;;;Rue Dizerens;26;1205;Genève;allo.hugo@etat.ge.ch;022 418 33 23
Anières;DIP Ecole publique;Canton;Anières;;;Rue Centrale;66;1247;Anières;anières-co-gy-her-ju-pre@etat.ge.ch;022 751 92 90
Corsier;DIP Ecole publique;Canton;Corsier;;;Route de Corsier;23;1246;Corsier;anières-co-gy-her-ju-pre@etat.ge.ch;022 751 92 90
Gy;DIP Ecole publique;Canton;Gy;;;Route de Gy;141;1251;Gy;anières-co-gy-her-ju-pre@etat.ge.ch;022 751 92 90
Hermance;DIP Ecole publique;Canton;Hermance;;;Chemin des Glerrets;14;1248;Hermance;anières-co-gy-her-ju-pre@etat.ge.ch;022 751 92 90
Jussy;DIP Ecole publique;Canton;Jussy;;;Route des Beillans ;9;1254;Jussy;anières-co-gy-her-ju-pre@etat.ge.ch;022 751 92 90
Presinge;DIP Ecole publique;Canton;Presinge;;;Route de la Louvière;4;1243;Presinge;anières-co-gy-her-ju-pre@etat.ge.ch;022 751 92 90
Aire-La-Ville;DIP Ecole publique;Canton;Aire-La-Ville;;;Chemin des Mussel;11;1288;Aire-La-Ville;avully-airelaville-athenaz-cartigny-chancy@etat.ge.ch;022 757 49 75
Athenaz;DIP Ecole publique;Canton;Athenaz;;;Route d'Athenaz;33;1285;Athenaz;avully-airelaville-athenaz-cartigny-chancy@etat.ge.ch;022 756 92 92
Avully;DIP Ecole publique;Canton;Avully;;;Route d'Avully;35;1237;Avully;avully-airelaville-athenaz-cartigny-chancy@etat.ge.ch;022 756 12 84
Cartigny;DIP Ecole publique;Canton;Cartigny;;;Rue du Trabli;5;1236;Cartigny;avully-airelaville-athenaz-cartigny-chancy@etat.ge.ch;022 756 36 17
Chancy;DIP Ecole publique;Canton;Chancy;;;Chemin de la Ruette;10;1284;Chancy;avully-airelaville-athenaz-cartigny-chancy@etat.ge.ch;022 756 38 47
Bellevue;DIP Ecole publique;Canton;Bellevue;;;Parc des Aiglettes;1;1293;Bellevue;bellevue-genthod@etat.ge.ch;022 959 75 40
Genthod;DIP Ecole publique;Canton;Genthod;;;Route de Valavran;139;1294;Genthod;bellevue-genthod@etat.ge.ch;022 959 75 40
Robert-Hainard;DIP Ecole publique;Canton;Bernex;;;Chemin de Saule;120;1233;Bernex;bernex@etat.ge.ch;022 850 96 72
Luchepelet;DIP Ecole publique;Canton;Bernex;;;Route d'Aire-La-Ville;22;1233;Bernex;bernex@etat.ge.ch;022 850 96 72
Lully;DIP Ecole publique;Canton;Bernex;;;Route de Soral;152;1233;Bernex;bernex@etat.ge.ch;022 850 96 72
