Nom structure;type de structure;Provenance;quartier;secteur;répondant-e;rue;numero;code postale;commune;mail;telephone
Centre de compétences en surdité;Ecole - foyer spécialisé;VDG;Vidollet;;;Chemin De-Vincy;2b;1202;Genève;ccs@etat.ge.ch;022 388 79 70
Centre de compétence pour deficits visuels;Ecole - foyer spécialisé;VDG;Jonction;;;Rue de la Coulouvrenière;7;1204;Genève;ccdv@etat.ge.ch;022 388 21 33
CLI EP Ami-Argand;Ecole - foyer spécialisé;Canton;Versoix;;;Chemin Ami-Argand;40;1290;Versoix;cli.ami-argand@etat.ge.ch;022 950 84 52
CLI EP Balexert;Ecole - foyer spécialisé;Canton;Châtelaine;;;Avenue de Pailly;15;1219;Châteleine;cli.balexert@etat.ge.ch;022 388 67 94
CLI EP Bellavista;Ecole - foyer spécialisé;Canton;Meyrin;;;Avenue de Vaudagne;39;1217;Meyrin;cli.boudines-bellavista@etat.ge.ch;022 783 03 64
CLI EP Belle-Terre;Ecole - foyer spécialisé;Canton;Thonex;;;Allée Belle-Terre;18;1226;Thônex;cli.belle-terre@etat.ge.ch;022 869 44 05
CLI EP Bossons;Ecole - foyer spécialisé;Canton;Onex;;;Avenue du Bois-de-la-Chappelle;90;1213;Onex;cli.bossons@etat.ge.ch;022 388 68 55
CLI EP Caroline;Ecole - foyer spécialisé;Canton;Petit-Lancy;;;Rue des Bossons;74;1213;Petit-Lancy;cli.caroline@etat.ge.ch;022 870 98 00
CLI EP Cayla;Ecole - foyer spécialisé;VDG;Saint-Jean;;;Chemin William-Lescazes;12;1203;Genève;cli.ep.cayla@etat.ge.ch;022 418 30 42
CLI EP Champ-Joly / Palettes;Ecole - foyer spécialisé;Canton;Plan-Les-Ouates;;;Chemin de la Mère-Voie;60;1228;Plan-Les-Ouates;cli.champ-joly@etat.ge.ch;022 388 67 93
CLI EP Confignon;Ecole - foyer spécialisé;Canton;Confignon;;;Chemin de Tréchaumont;6;1232;Confignon;cli.confignon@etat.ge.ch;022 388 67 06
CLI EP Cressy;Ecole - foyer spécialisé;Canton;Confignon;;;Rue Edouard-Vallet;16;1232;Confignon;cli.cressy@etat.ge.ch;022 727 10 80
CLI EP Crêts-de-Champel;Ecole - foyer spécialisé;VDG;Champel;;;Chemin des Crêts-de-Champel;40;1206;Genève;cli.crets-de-champel@etat.ge.ch;022 388 76 20
CLI EP Eaux-Vives;Ecole - foyer spécialisé;VDG;Eaux-Vives;;;Rue des Eaux-Vives;86;1207;Genève;cli.eaux-vives@etat.ge.ch;022 388 72 79 
CLI EP En-Sauvy;Ecole - foyer spécialisé;Canton;Grand-Lancy;;;Avenue du Curé-Baud;40;1212;Grand-lancy;cli.en-sauvy@etat.ge.ch;022 388 67 88
CLI EP Etang;Ecole - foyer spécialisé;Canton;Châtelaine;;;Allée des Nénuphars;6;1219;Châteleine;cli.etang@etat.ge.ch;022 327 05 26
CLI EP Ferdinand-Hodler;Ecole - foyer spécialisé;VDG;Rive;;;Boulevard Emile-Jacques-Dalcroze;4;1204;Genève;cli.ferdinand-hodler@etat.ge.ch;022 418 34 43
CLI EP Floraire;Ecole - foyer spécialisé;Canton;Chêne-Bourg;;;Chemin de Floraire;11;1225;Chêne-Bourg;cli.floraire@etat.ge.ch;022 348 81 47
CLI EP Franchises;Ecole - foyer spécialisé;VDG;Franchises;;;Route des Franchises;54;1203;Genève;cli.franchises@etat.ge.ch;022 418 31 38
CLI EP Geisendorf;Ecole - foyer spécialisé;VDG;Geisendorf;;;Rue de Lyon;56;1203;Genève;cli.geisendorf@etat.ge.ch;022 418 33 08
CLI EP Hugo-de-Senger;Ecole - foyer spécialisé;VDG;Plainpalais;;;Rue de Dizerens;26;1205;Genève;cli.hugo-de-senger@etat.ge.ch;022 827 85 60
CLI EP Lignon;Ecole - foyer spécialisé;Canton;Lignon;;;Place du Lignon;24;1219;Le Lignon;cli.lignon@etat.ge.ch;022 388 79 83
CLI EP Mail;Ecole - foyer spécialisé;VDG;Jonction;;;Rue du Village Suisse;5;1205;Genève;cli.mail@etat.ge.ch;022 418 33 65
