"id_c","acc_type_business_c","investment_profile_c","alternativeinvestments_c","managementfees_c","comments_c"
"cfc1f107-ea61-e8ea-1152-4cd422f8e47b","^Income^","Balanced","20","0.8%","Monnaie de référence CHF"
"25f4fb6b-eb68-3be4-09d9-4cf90349c951","^Interest return^","Fixed Income","10","0.3%","monnaie de référence: CHF"
"2036de01-bb49-5285-2c15-4d14729aedf1","^Balanced^","Balanced","20","1%","Monaie de référence : CHF"
"99e56a89-5794-4947-4b89-4d5020ef6806","^Growth^","Capital Gain","30","0%","excécution après consultation du client seulement"
"2ed1af01-9227-8eeb-bbfe-4d55505a55e2","^Growth^","Growth","20","0.8%",""
"2b8705e0-4616-10dc-21d9-4e3947f7e602","","Balanced","20","1%",""
"881e472c-bdc2-a0e0-602f-4f17f0d66cc9","","Balanced","20","0% / P.F. 20%",""
"84387a29-9de2-c2af-e61b-4ebd45f4282d","","Balanced","100","0.5%","monnaie de référence: CHF"
"b1f8946c-4f79-fc8d-030c-4f17f5a58dbc","","Balanced","20","0%",""
"d63f369b-72cd-ad06-6cbe-4f17f5389e1f","","Growth","20","0%",""
"aa9afff6-916b-1d21-cc54-4f17f6710139","","Growth","20","0%",""
"987866da-4cbc-556a-2937-4e8f15d274b1","","Growth","10","0.75%","Monaie de référence EUR"
"58fc8c38-f238-33b6-ce4a-50b8f5d4c4e6","","Growth","25","0.80","client à C.B.sign.mandat 30.11.12"
"3d005545-a509-cbf0-e85c-50b8f622d541","","Growth","25","0.8","clients C.B.sign.mandat 30.11.12"
"bb1b42e1-04bd-e089-797b-50d32633e75e","","Growth","100","1.00","Monnaie de référence CHF"
"ddb7fe03-dfe5-8229-e5df-51374e6713ff","","Growth","100","1%",""
"33760e0b-8cad-402d-b6a3-515450c94107","","Balanced","25","0.50%","Garder en réserve CHF 100'000"
"3012f01a-7235-008a-0940-517a87092fa0","","Growth","50","1","Monaie de référence CHF"
"856e5965-ba27-729a-81b8-5182194f72ff","","Capital Gain","25","1.00","CHF Banque Julius Baer"
